6/1,3840
6/2,358
6/3,429
6/4,471
6/5,494
6/6,575
6/7,304
6/8,190
6/9,263
6/10,267
6/11,511
6/12,392
6/13,336
6/14,208
6/15,87
6/16,195
6/17,266
6/18,271
6/19,228
6/20,286
6/21,125
6/22,149
6/23,229
6/24,172
6/25,226
6/26,233
6/27,373
6/28,224
6/29,101
6/30,114
7/1,261
7/2,195
7/3,290
7/4,210
7/5,136
7/6,163
7/7,201
7/8,264
7/9,295
7/10,213
7/11,288
7/12,199
7/13,230
7/14,303
7/15,217
7/16,234
7/17,298
7/18,359
7/19,296
7/20,255
7/21,244
7/22,287
7/23,327
7/24,338
7/25,289
7/26,363
7/27,289
7/28,256
7/29,502
7/30,414
7/31,514
